Target Name,Target ID,Project Count,Total Criticals,Total Highs,Total Mediums,Total lows
dvs,48f81055-cb15-4409-9e31-86d0e0a8735e,1,0,4,2,3
dollav/java-goof,120b780a-8473-4ed6-bf1a-1926c2d13e48,1,0,0,2,0
test-project,0348a52a-8a04-48c5-9125-ed210472234e,1,0,0,2,0
dollav/requirements-testing,d9e194a8-8368-4c35-836a-3953eb7374ee,2,2,10,2,4
snyk/kubernetes-monitor,1d57a13b-d794-4ff9-8540-bca653d0fa97,5,0,4,11,6
doll1av/cookingbackend,ddd880c2-b75e-43f9-9477-8fe4b6c75462,2,35,134,194,276
dollav/dvpwa,07a39af4-321b-4e3b-adba-6b2c69b5957d,4,5,22,22,4
nginx,3a76c435-a2f3-46e4-b26a-e29046aa5d69,2,3,6,2,220
clean-org/hello,1ecad589-54fb-40a7-82ab-8f74054dc4e3,3,4,18,5,1
clean-org/terraform,88cfb6c3-2aac-4a5e-a839-3cabc305c8a8,1,0,0,6,3
dollav/nodejs-goof,4976a36c-e1f7-45ea-889f-ee57151064c5,2,12,58,148,276
code-pipeline-testing,0be0d472-1415-4c2a-a68e-2e4a29bba82c,1,2,26,38,44
nodejs-goof,b95340c0-df80-4df1-a95c-0e043f86f682,1,2,26,38,44
docker,9b8f15e4-7a96-4637-9e3b-dc7ccd1f8dff,10,0,3,18,1
dollav/dvcsharp-api,7418e3ff-f488-44da-8774-2f659ccdd3a4,3,15,54,32,145
Doll-Enterprise-llc/Snyk-Kubernetes-reconciler,0dfe601c-e749-4ac1-8ff0-416540c3ecb5,3,1,3,17,195
dollav/Snyk-Kubernetes-Reconciler,6fd39c6f-924e-4c22-9233-0f918255dc23,4,1,3,11,193
docker/desktop-vpnkit-controller,54c07332-1655-47a2-a2e7-0ac317ca11dc,2,0,0,0,0
docker/desktop-storage-provisioner,52a03144-96bf-42bb-adc7-19a94353a896,4,0,13,8,0
registry.k8s.io/kube-scheduler,9d250d37-4c2c-42b8-9c7b-5ada905bfb1b,6,0,8,8,0
registry.k8s.io/kube-proxy,6d09a97b-6ef2-460c-a757-6a74b4002a91,6,0,16,18,46
registry.k8s.io/kube-controller-manager,19016c8e-680f-49c8-9fb6-60d847d4ccab,6,0,18,10,0
registry.k8s.io/kube-apiserver,15cac630-0618-453c-97b7-a2d5ffeb141f,6,0,8,10,0
registry.k8s.io/etcd,db716a06-e0c2-4381-be65-9c55b3b04f39,6,0,16,10,0
registry.k8s.io/coredns/coredns,5c2f48c1-b175-42c6-a0c7-03e36fa5d46c,4,0,8,8,0
dollav/c-goof,3463a29a-4129-4e31-95a3-c5831bd8c694,2,2,5,698,166
dollav/json,fb1e207f-4646-4462-81ce-3f05883b11bf,1,0,0,0,0
dollav/Bank-Management-C,a7926cda-7031-45a0-9825-e5e4743a1f9a,1,0,0,0,0
nodejsgoof,c8c3b232-f8aa-4fea-8583-5f794f7b75ac,1,0,5,13,6
dollav/java-goof,7bb575f3-4ca4-4578-a1c3-459a1ff08d29,10,99,316,352,579
java-goof,63c272f8-0375-4700-903c-12cf5748e0f8,1,0,0,2,0
dollav/gs-gradle,47ec3cea-52b4-499d-aab9-e031655803dd,4,0,0,4,4
doll1av-frontend-latest,d7ad25d0-8021-4935-baf7-83324a463a52,2,35,191,293,414
a1doll-k8sreconciler.tar,dbb7de07-17af-4f3b-9b9c-6beb3fc5627d,7,1,21,41,193
a1doll-k8reconciler,028bf511-de60-4524-bcf7-0b7c769e86fa,8,1,21,43,193
archive-file.tar,cf770a85-4635-4230-834f-4bb9d998ea02,8,1,21,43,193
dollav/log4j-minilab,fb18e468-349a-4bbd-8415-e22a9c218d95,3,7,30,39,9
dollav/Snyk-Kubernetes-reconciler,bb62f893-b938-48cc-bdf8-d7268ebe92b1,9,2,6,35,393
dollav/nodejs-goof,846bbc8c-a07d-4231-b373-fb1343ff815d,1,2,26,38,44
doll94av/fullstack-development,eedbdb22-cf6f-4846-9035-90edb8f368c7,1,1,21,27,12
dollav/juice-shop,e2972185-060f-4ada-8583-869f7df65e39,5,66,298,397,590
dollav/java-goof,f2d9e158-d489-42ff-ad04-d71361d68c14,6,8,11,19,1
dollav/juice-shop,495e89cb-5760-4c6f-b8a6-6a46d1b96fe5,3,8,35,51,23
dollav/nodejs-goof,594e6cc4-0fae-4787-849d-8079ead7824f,1,2,26,38,44
